sub,similarity,congruent,rsi
280413,2.12,1,1
280418,2.4166666666666665,1,1
280419,1.8095238095238095,1,1
280420,2.05,1,1
280422,2.0952380952380953,1,1
280428,2.0833333333333335,1,1
280429,2.3043478260869565,1,1
280430,2.238095238095238,1,1
280433,2.0952380952380953,1,1
280435,2.1666666666666665,1,1
280436,2.473684210526316,1,1
280437,1.9230769230769231,1,1
280438,2.05,1,1
280440,2.0,1,1
280444,2.0,1,1
280281,2.2,0,1
280282,2.0555555555555554,0,1
280283,2.411764705882353,0,1
280285,1.9166666666666667,0,1
280286,1.8695652173913044,0,1
280288,2.28,0,1
280289,2.0588235294117645,0,1
280292,2.2777777777777777,0,1
280297,1.9,0,1
280298,2.142857142857143,0,1
280299,1.9230769230769231,0,1
280300,1.5555555555555556,0,1
280301,2.111111111111111,0,1
280302,2.2666666666666666,0,1
280303,2.0,0,1
280304,1.8461538461538463,0,1
280305,2.0,0,1
280306,2.3125,0,1
280307,1.9375,0,1
280308,2.3043478260869565,0,1
280309,2.0,0,1
280310,2.388888888888889,0,1
280311,2.1153846153846154,0,1
280312,1.9444444444444444,0,1
280313,2.0625,0,1
280314,1.8461538461538463,0,1
280315,1.8888888888888888,0,1
280316,2.2666666666666666,0,1
280317,1.9166666666666667,0,1
280318,2.0,0,1
280320,2.4,0,1
280321,1.9333333333333333,0,1
280322,1.9375,0,1
280325,2.25,0,1
280326,2.142857142857143,0,1
280327,2.4375,0,1
280328,2.4,0,1
280329,2.1666666666666665,0,1
280330,2.1666666666666665,0,1
280332,2.0,0,1
280333,2.1818181818181817,0,1
280334,2.0625,0,1
280335,2.1818181818181817,0,1
280336,2.625,0,1
280337,2.210526315789474,0,1
280339,2.263157894736842,0,1
280340,2.375,0,1
280342,1.7058823529411764,0,1
280343,2.375,0,1
280344,2.1739130434782608,0,1
280345,2.2,0,1
280346,2.15,0,1
280347,1.8666666666666667,0,1
280349,2.411764705882353,0,1
280350,2.111111111111111,0,1
280351,2.0,0,1
280352,1.9259259259259258,0,1
280353,2.25,0,1
280354,2.3076923076923075,0,1
280355,2.0454545454545454,0,1
280356,2.142857142857143,0,1
280357,2.4,0,1
280360,2.2666666666666666,0,1
280361,2.066666666666667,0,1
280362,2.3,0,1
280363,2.3636363636363638,0,1
280364,2.0,0,1
280365,1.8846153846153846,0,1
280367,1.8,0,1
280368,2.0,0,1
280369,1.9375,0,1
280370,2.2,0,1
280371,2.066666666666667,0,1
280372,2.1666666666666665,0,1
280373,1.8666666666666667,0,1
280374,2.0526315789473686,0,1
280375,2.5714285714285716,0,1
280376,2.3846153846153846,0,1
280377,2.125,0,1
280379,2.1818181818181817,0,1
280380,2.391304347826087,0,1
280383,2.3333333333333335,0,1
280384,2.0588235294117645,0,1
280385,1.92,0,1
280386,1.9285714285714286,0,1
280387,1.9130434782608696,0,1
280389,2.111111111111111,0,1
280391,1.9230769230769231,0,1
280392,2.2,0,1
280395,2.2,0,1
280396,1.8571428571428572,0,1
280398,1.8888888888888888,0,1
280403,1.8095238095238095,0,1
280404,2.0,0,1
280405,2.0714285714285716,0,1
280406,1.6666666666666667,0,1
280408,2.1052631578947367,0,1
280409,2.1176470588235294,0,1
280411,1.5555555555555556,0,1
280412,2.375,0,1
280413,2.2,0,1
280418,2.0357142857142856,0,1
280419,1.8235294117647058,0,1
280420,2.217391304347826,0,1
280422,1.9230769230769231,0,1
280428,2.125,0,1
280429,2.0526315789473686,0,1
280430,2.210526315789474,0,1
280433,2.1578947368421053,0,1
280435,2.0,0,1
280436,2.0,0,1
280437,2.2142857142857144,0,1
280438,2.0,0,1
280440,2.090909090909091,0,1
280444,2.0625,0,1
280281,2.0,1,2
280282,2.0476190476190474,1,2
280283,2.0555555555555554,1,2
280285,2.0,1,2
280286,2.04,1,2
280288,1.6666666666666667,1,2
280289,2.0833333333333335,1,2
280292,2.0,1,2
280297,2.1176470588235294,1,2
280298,2.2222222222222223,1,2
280299,1.7619047619047619,1,2
280300,2.2857142857142856,1,2
280301,1.9333333333333333,1,2
280302,2.0,1,2
280303,1.875,1,2
280304,1.9411764705882353,1,2
280305,2.0,1,2
280306,2.3157894736842106,1,2
280307,2.1153846153846154,1,2
280308,2.3333333333333335,1,2
280309,1.85,1,2
280310,2.1363636363636362,1,2
280311,2.238095238095238,1,2
280312,1.9285714285714286,1,2
280313,1.9333333333333333,1,2
280314,1.9375,1,2
280315,2.2,1,2
280316,1.8,1,2
280317,2.1052631578947367,1,2
280318,2.2,1,2
280320,1.9545454545454546,1,2
280321,2.1333333333333333,1,2
280322,1.9583333333333333,1,2
280325,2.0384615384615383,1,2
280326,2.0,1,2
280327,1.9166666666666667,1,2
280328,2.0526315789473686,1,2
280329,2.35,1,2
280330,1.9130434782608696,1,2
280332,2.2,1,2
280333,1.8823529411764706,1,2
280334,2.0526315789473686,1,2
280335,2.217391304347826,1,2
280336,2.3529411764705883,1,2
280337,1.8,1,2
280339,2.0869565217391304,1,2
280340,2.0,1,2
280342,2.0,1,2
280343,2.0555555555555554,1,2
280344,2.375,1,2
280345,2.0555555555555554,1,2
280346,2.2,1,2
280347,2.4444444444444446,1,2
280349,1.9,1,2
280350,2.0526315789473686,1,2
280351,2.0454545454545454,1,2
280352,1.8333333333333333,1,2
280353,2.090909090909091,1,2
280354,1.7142857142857142,1,2
280355,2.1538461538461537,1,2
280356,2.125,1,2
280357,2.217391304347826,1,2
280360,2.142857142857143,1,2
280361,2.0555555555555554,1,2
280362,2.3636363636363638,1,2
280363,2.15,1,2
280364,2.1666666666666665,1,2
280365,1.9,1,2
280367,2.0625,1,2
280368,2.0,1,2
280369,1.7727272727272727,1,2
280370,1.75,1,2
280371,1.9090909090909092,1,2
280372,2.0526315789473686,1,2
280373,2.0625,1,2
280374,1.9545454545454546,1,2
280375,2.1,1,2
280376,2.227272727272727,1,2
280377,2.0555555555555554,1,2
280379,2.263157894736842,1,2
280380,2.3684210526315788,1,2
280383,2.238095238095238,1,2
280384,2.3333333333333335,1,2
280385,2.142857142857143,1,2
280386,2.3,1,2
280387,1.9,1,2
280389,2.1,1,2
280391,2.0,1,2
280392,2.0,1,2
280395,1.75,1,2
280396,2.3125,1,2
280398,2.0,1,2
280403,2.0,1,2
280404,2.1578947368421053,1,2
280405,2.0952380952380953,1,2
280406,2.1,1,2
280408,2.3043478260869565,1,2
280409,2.125,1,2
280411,2.0,1,2
280412,1.8095238095238095,1,2
280413,2.0434782608695654,1,2
280418,2.142857142857143,1,2
280419,2.25,1,2
280420,2.16,1,2
280422,2.0526315789473686,1,2
280428,1.9130434782608696,1,2
280429,2.1666666666666665,1,2
280430,2.142857142857143,1,2
280433,2.0,1,2
280435,2.0,1,2
280436,2.0,1,2
280437,2.2222222222222223,1,2
280438,2.0714285714285716,1,2
280440,2.260869565217391,1,2
280444,2.1666666666666665,1,2
280281,2.0526315789473686,0,2
280282,1.8571428571428572,0,2
280283,1.7692307692307692,0,2
280285,2.5,0,2
280286,1.7,0,2
280288,1.8888888888888888,0,2
280289,2.1052631578947367,0,2
280292,1.6923076923076923,0,2
280297,2.4,0,2
280298,2.3,0,2
280299,2.1666666666666665,0,2
280300,2.4444444444444446,0,2
280301,2.1,0,2
280302,1.9375,0,2
280303,2.076923076923077,0,2
280304,1.8636363636363635,0,2
280305,2.25,0,2
280306,2.090909090909091,0,2
280307,2.3125,0,2
280308,2.111111111111111,0,2
280309,2.076923076923077,0,2
280310,2.5,0,2
280311,2.142857142857143,0,2
280312,2.125,0,2
280313,1.9230769230769231,0,2
280314,2.142857142857143,0,2
280315,2.0714285714285716,0,2
280316,2.0,0,2
280317,2.230769230769231,0,2
280318,2.2222222222222223,0,2
280320,1.875,0,2
280321,2.0,0,2
280322,2.125,0,2
280325,2.0833333333333335,0,2
280326,1.9333333333333333,0,2
280327,2.066666666666667,0,2
280328,2.357142857142857,0,2
280329,2.2142857142857144,0,2
280330,1.8823529411764706,0,2
280332,2.176470588235294,0,2
280333,2.0714285714285716,0,2
280334,2.15,0,2
280335,2.2941176470588234,0,2
280336,2.0,0,2
280337,2.142857142857143,0,2
280339,2.230769230769231,0,2
280340,1.9166666666666667,0,2
280342,2.1052631578947367,0,2
280343,1.95,0,2
280344,2.4,0,2
280345,2.0714285714285716,0,2
280346,2.0833333333333335,0,2
280347,1.9444444444444444,0,2
280349,1.9375,0,2
280350,2.727272727272727,0,2
280351,2.3846153846153846,0,2
280352,1.826086956521739,0,2
280353,1.9230769230769231,0,2
280354,1.9411764705882353,0,2
280355,2.2,0,2
280356,1.8666666666666667,0,2
280357,2.4,0,2
280360,2.2857142857142856,0,2
280361,2.0,0,2
280362,2.5,0,2
280363,1.875,0,2
280364,2.176470588235294,0,2
280365,2.2,0,2
280367,2.5,0,2
280368,1.75,0,2
280369,1.8333333333333333,0,2
280370,2.0,0,2
280371,2.3076923076923075,0,2
280372,2.111111111111111,0,2
280373,1.875,0,2
280374,1.8888888888888888,0,2
280375,2.357142857142857,0,2
280376,2.4285714285714284,0,2
280377,2.3157894736842106,0,2
280379,1.8888888888888888,0,2
280380,2.1,0,2
280383,2.3846153846153846,0,2
280384,2.3636363636363638,0,2
280385,2.1176470588235294,0,2
280386,2.1818181818181817,0,2
280387,2.111111111111111,0,2
280389,2.111111111111111,0,2
280391,2.1875,0,2
280392,2.0476190476190474,0,2
280395,2.0588235294117645,0,2
280396,2.1923076923076925,0,2
280398,1.6842105263157894,0,2
280403,2.0,0,2
280404,2.25,0,2
280405,2.2,0,2
280406,2.0555555555555554,0,2
280408,2.0,0,2
280409,1.8571428571428572,0,2
280411,2.0,0,2
280412,1.8333333333333333,0,2
280413,2.0,0,2
280418,1.9411764705882353,0,2
280419,2.15,0,2
280420,2.5714285714285716,0,2
280422,1.875,0,2
280428,2.2,0,2
280429,2.0555555555555554,0,2
280430,2.111111111111111,0,2
280433,2.1333333333333333,0,2
280435,2.0526315789473686,0,2
280436,2.0,0,2
280437,2.0714285714285716,0,2
280438,1.7692307692307692,0,2
280440,1.9411764705882353,0,2
280444,2.111111111111111,0,2
280281,2.25,1,3
280282,2.3076923076923075,1,3
280283,2.210526315789474,1,3
280285,2.0,1,3
280286,1.8571428571428572,1,3
280288,2.3684210526315788,1,3
280289,1.6875,1,3
280292,2.1538461538461537,1,3
280297,2.0952380952380953,1,3
280298,2.3333333333333335,1,3
280299,1.8,1,3
280300,2.0,1,3
280301,2.0,1,3
280302,2.263157894736842,1,3
280303,2.1333333333333333,1,3
280304,2.1666666666666665,1,3
280305,2.1666666666666665,1,3
280306,2.2857142857142856,1,3
280307,2.2142857142857144,1,3
280308,2.45,1,3
280309,1.9285714285714286,1,3
280310,2.210526315789474,1,3
280311,2.2857142857142856,1,3
280312,1.8125,1,3
280313,2.066666666666667,1,3
280314,1.9444444444444444,1,3
280315,2.142857142857143,1,3
280316,2.0714285714285716,1,3
280317,2.2,1,3
280318,2.0,1,3
280320,2.15,1,3
280321,2.0,1,3
280322,2.0833333333333335,1,3
280325,2.2222222222222223,1,3
280326,1.9444444444444444,1,3
280327,1.9444444444444444,1,3
280328,2.3333333333333335,1,3
280329,1.6956521739130435,1,3
280330,2.0526315789473686,1,3
280332,2.125,1,3
280333,1.7333333333333334,1,3
280334,1.894736842105263,1,3
280335,2.0714285714285716,1,3
280336,2.0588235294117645,1,3
280337,2.388888888888889,1,3
280339,2.0,1,3
280340,2.0,1,3
280342,1.8235294117647058,1,3
280343,2.1,1,3
280344,2.5294117647058822,1,3
280345,1.8333333333333333,1,3
280346,2.4,1,3
280347,1.875,1,3
280349,2.1578947368421053,1,3
280350,2.15,1,3
280351,2.066666666666667,1,3
280352,1.9,1,3
280353,1.8888888888888888,1,3
280354,2.0555555555555554,1,3
280355,2.1875,1,3
280356,2.076923076923077,1,3
280357,1.9,1,3
280360,2.210526315789474,1,3
280361,1.6666666666666667,1,3
280362,1.9411764705882353,1,3
280363,2.3333333333333335,1,3
280364,1.9,1,3
280365,2.0,1,3
280367,2.0,1,3
280368,1.9375,1,3
280369,1.7692307692307692,1,3
280370,2.1176470588235294,1,3
280371,2.1666666666666665,1,3
280372,2.0,1,3
280373,2.1538461538461537,1,3
280374,1.8823529411764706,1,3
280375,2.1578947368421053,1,3
280376,1.9333333333333333,1,3
280377,1.8,1,3
280379,2.2,1,3
280380,2.3529411764705883,1,3
280383,2.0588235294117645,1,3
280384,2.0476190476190474,1,3
280385,1.894736842105263,1,3
280386,1.88,1,3
280387,1.6923076923076923,1,3
280389,1.7647058823529411,1,3
280391,2.0,1,3
280392,2.3684210526315788,1,3
280395,1.736842105263158,1,3
280396,2.0,1,3
280398,2.142857142857143,1,3
280403,2.1904761904761907,1,3
280404,2.3125,1,3
280405,2.0555555555555554,1,3
280406,2.0714285714285716,1,3
280408,2.4705882352941178,1,3
280409,2.176470588235294,1,3
280411,1.9411764705882353,1,3
280412,1.8125,1,3
280413,1.9444444444444444,1,3
280418,1.95,1,3
280419,1.8421052631578947,1,3
280420,2.0,1,3
280422,1.9285714285714286,1,3
280428,2.2142857142857144,1,3
280429,2.130434782608696,1,3
280430,2.176470588235294,1,3
280433,2.1176470588235294,1,3
280435,2.263157894736842,1,3
280436,2.0625,1,3
280437,1.7333333333333334,1,3
280438,1.5,1,3
280440,2.5,1,3
280444,1.8333333333333333,1,3
280281,2.1818181818181817,0,3
280282,1.7222222222222223,0,3
280283,1.75,0,3
280285,2.1,0,3
280286,1.9166666666666667,0,3
280288,2.3529411764705883,0,3
280289,2.1333333333333333,0,3
280292,1.875,0,3
280297,1.5,0,3
280298,1.8181818181818181,0,3
280299,1.8888888888888888,0,3
280300,2.2142857142857144,0,3
280301,2.2857142857142856,0,3
280302,2.4545454545454546,0,3
280303,1.9375,0,3
280304,1.75,0,3
280305,2.3076923076923075,0,3
280306,1.9166666666666667,0,3
280307,1.875,0,3
280308,1.8125,0,3
280309,2.25,0,3
280310,2.3333333333333335,0,3
280311,1.8571428571428572,0,3
280312,2.2222222222222223,0,3
280313,2.3076923076923075,0,3
280314,2.111111111111111,0,3
280315,2.5,0,3
280316,2.1666666666666665,0,3
280317,1.8333333333333333,0,3
280318,1.7272727272727273,0,3
280320,2.0833333333333335,0,3
280321,2.2857142857142856,0,3
280322,1.9444444444444444,0,3
280325,2.3333333333333335,0,3
280326,1.9230769230769231,0,3
280327,1.8888888888888888,0,3
280328,2.25,0,3
280329,1.4545454545454546,0,3
280330,2.4166666666666665,0,3
280332,1.9411764705882353,0,3
280333,2.2857142857142856,0,3
280334,1.7857142857142858,0,3
280335,2.25,0,3
280336,2.0833333333333335,0,3
280337,1.8,0,3
280339,2.210526315789474,0,3
280340,2.076923076923077,0,3
280342,2.111111111111111,0,3
280343,1.875,0,3
280344,2.1538461538461537,0,3
280345,1.9090909090909092,0,3
280346,2.3,0,3
280347,1.9545454545454546,0,3
280349,2.4285714285714284,0,3
280350,2.3333333333333335,0,3
280351,2.3636363636363638,0,3
280352,2.111111111111111,0,3
280353,1.9285714285714286,0,3
280354,2.0,0,3
280355,1.8333333333333333,0,3
280356,2.0,0,3
280357,2.230769230769231,0,3
280360,2.6363636363636362,0,3
280361,1.6666666666666667,0,3
280362,2.1875,0,3
280363,2.5,0,3
280364,2.1818181818181817,0,3
280365,1.8181818181818181,0,3
280367,2.1,0,3
280368,2.272727272727273,0,3
280369,1.5,0,3
280370,2.2222222222222223,0,3
280371,2.0,0,3
280372,2.0,0,3
280373,2.3846153846153846,0,3
280374,2.1818181818181817,0,3
280375,2.2857142857142856,0,3
280376,2.0714285714285716,0,3
280377,2.0,0,3
280379,2.5,0,3
280380,2.176470588235294,0,3
280383,2.1818181818181817,0,3
280384,2.2222222222222223,0,3
280385,2.1666666666666665,0,3
280386,2.25,0,3
280387,2.1904761904761907,0,3
280389,2.125,0,3
280391,2.1333333333333333,0,3
280392,2.3125,0,3
280395,2.0,0,3
280396,2.0714285714285716,0,3
280398,2.1052631578947367,0,3
280403,1.8333333333333333,0,3
280404,2.090909090909091,0,3
280405,1.6666666666666667,0,3
280406,1.8571428571428572,0,3
280408,1.8666666666666667,0,3
280409,2.0,0,3
280411,2.5,0,3
280412,1.9230769230769231,0,3
280413,2.0,0,3
280418,2.111111111111111,0,3
280419,1.9375,0,3
280420,1.9411764705882353,0,3
280422,1.8181818181818181,0,3
280428,1.5384615384615385,0,3
280429,1.6666666666666667,0,3
280430,2.0,0,3
280433,2.1,0,3
280435,2.3636363636363638,0,3
280436,1.9285714285714286,0,3
280437,1.5555555555555556,0,3
280438,2.076923076923077,0,3
280440,1.8333333333333333,0,3
280444,2.066666666666667,0,3
280281,1.7222222222222223,1,4
280282,2.0,1,4
280283,2.25,1,4
280285,1.85,1,4
280286,2.090909090909091,1,4
280288,2.238095238095238,1,4
280289,1.8333333333333333,1,4
280292,2.0,1,4
280297,2.111111111111111,1,4
280298,1.92,1,4
280299,1.8333333333333333,1,4
280300,2.1333333333333333,1,4
280301,2.111111111111111,1,4
280302,2.388888888888889,1,4
280303,2.0,1,4
280304,2.0,1,4
280305,1.9523809523809523,1,4
280306,2.1578947368421053,1,4
280307,1.9130434782608696,1,4
280308,1.826086956521739,1,4
280309,2.3333333333333335,1,4
280310,2.0,1,4
280311,2.0869565217391304,1,4
280312,2.3333333333333335,1,4
280313,1.8823529411764706,1,4
280314,1.7142857142857142,1,4
280315,2.0952380952380953,1,4
280316,1.8181818181818181,1,4
280317,1.8571428571428572,1,4
280318,2.0,1,4
280320,1.8666666666666667,1,4
280321,2.272727272727273,1,4
280322,2.0833333333333335,1,4
280325,2.0625,1,4
280326,1.8695652173913044,1,4
280327,2.1363636363636362,1,4
280328,2.2,1,4
280329,1.8571428571428572,1,4
280330,1.8333333333333333,1,4
280332,2.0,1,4
280333,2.3333333333333335,1,4
280334,1.9090909090909092,1,4
280335,2.227272727272727,1,4
280336,2.08,1,4
280337,2.0555555555555554,1,4
280339,2.1818181818181817,1,4
280340,1.9523809523809523,1,4
280342,2.2777777777777777,1,4
280343,1.9444444444444444,1,4
280344,2.25,1,4
280345,2.0,1,4
280346,2.1578947368421053,1,4
280347,2.0,1,4
280349,2.1052631578947367,1,4
280350,2.4,1,4
280351,2.130434782608696,1,4
280352,1.9545454545454546,1,4
280353,1.6470588235294117,1,4
280354,2.3125,1,4
280355,2.0,1,4
280356,2.1538461538461537,1,4
280357,1.9545454545454546,1,4
280360,2.142857142857143,1,4
280361,2.0,1,4
280362,1.8571428571428572,1,4
280363,1.8666666666666667,1,4
280364,2.076923076923077,1,4
280365,2.3333333333333335,1,4
280367,2.142857142857143,1,4
280368,1.9473684210526316,1,4
280369,1.88,1,4
280370,2.0869565217391304,1,4
280371,2.1578947368421053,1,4
280372,2.0,1,4
280373,2.0454545454545454,1,4
280374,1.6,1,4
280375,2.0526315789473686,1,4
280376,1.894736842105263,1,4
280377,2.0,1,4
280379,1.7916666666666667,1,4
280380,2.1818181818181817,1,4
280383,1.9411764705882353,1,4
280384,2.0,1,4
280385,1.8095238095238095,1,4
280386,1.8333333333333333,1,4
280387,2.375,1,4
280389,2.142857142857143,1,4
280391,2.206896551724138,1,4
280392,1.7826086956521738,1,4
280395,2.235294117647059,1,4
280396,2.142857142857143,1,4
280398,1.7391304347826086,1,4
280403,1.9047619047619047,1,4
280404,1.8,1,4
280405,1.8666666666666667,1,4
280406,2.076923076923077,1,4
280408,2.0,1,4
280409,1.8888888888888888,1,4
280411,2.1666666666666665,1,4
280412,1.9523809523809523,1,4
280413,2.176470588235294,1,4
280418,2.263157894736842,1,4
280419,1.8181818181818181,1,4
280420,2.1666666666666665,1,4
280422,1.9615384615384615,1,4
280428,2.3333333333333335,1,4
280429,2.130434782608696,1,4
280430,2.0,1,4
280433,1.9,1,4
280435,1.9615384615384615,1,4
280436,1.9333333333333333,1,4
280437,1.894736842105263,1,4
280438,2.466666666666667,1,4
280440,2.0588235294117645,1,4
280444,2.2,1,4
280281,1.826086956521739,0,4
280282,2.3076923076923075,0,4
280283,2.0,0,4
280285,2.0,0,4
280286,1.9090909090909092,0,4
280288,2.0555555555555554,0,4
280289,1.9,0,4
280292,2.4,0,4
280297,2.3846153846153846,0,4
280298,2.2857142857142856,0,4
280299,1.9444444444444444,0,4
280300,2.4615384615384617,0,4
280301,1.9090909090909092,0,4
280302,2.0714285714285716,0,4
280303,2.0,0,4
280304,2.1875,0,4
280305,2.0833333333333335,0,4
280306,2.210526315789474,0,4
280307,1.7333333333333334,0,4
280308,2.0454545454545454,0,4
280309,2.1538461538461537,0,4
280310,2.272727272727273,0,4
280311,2.272727272727273,0,4
280312,1.8,0,4
280313,2.066666666666667,0,4
280314,1.6875,0,4
280315,2.4375,0,4
280316,1.9444444444444444,0,4
280317,1.8888888888888888,0,4
280318,2.0714285714285716,0,4
280320,2.0952380952380953,0,4
280321,1.9166666666666667,0,4
280322,2.0714285714285716,0,4
280325,1.9166666666666667,0,4
280326,1.6666666666666667,0,4
280327,1.9473684210526316,0,4
280328,2.2857142857142856,0,4
280329,2.1176470588235294,0,4
280330,1.8214285714285714,0,4
280332,1.7647058823529411,0,4
280333,2.1,0,4
280334,2.0833333333333335,0,4
280335,2.142857142857143,0,4
280336,2.3125,0,4
280337,1.7647058823529411,0,4
280339,1.9375,0,4
280340,2.0588235294117645,0,4
280342,1.8666666666666667,0,4
280343,2.1052631578947367,0,4
280344,1.8823529411764706,0,4
280345,1.9411764705882353,0,4
280346,2.2916666666666665,0,4
280347,2.0,0,4
280349,2.3157894736842106,0,4
280350,2.272727272727273,0,4
280351,1.9090909090909092,0,4
280352,2.0588235294117645,0,4
280353,2.1,0,4
280354,2.0,0,4
280355,1.95,0,4
280356,2.3529411764705883,0,4
280357,2.411764705882353,0,4
280360,2.3,0,4
280361,2.25,0,4
280362,2.3157894736842106,0,4
280363,2.210526315789474,0,4
280364,1.9583333333333333,0,4
280365,2.0,0,4
280367,2.0,0,4
280368,2.1,0,4
280369,1.8571428571428572,0,4
280370,1.75,0,4
280371,2.1333333333333333,0,4
280372,2.0,0,4
280373,1.9473684210526316,0,4
280374,2.1333333333333333,0,4
280375,1.7333333333333334,0,4
280376,2.0416666666666665,0,4
280377,1.9444444444444444,0,4
280379,2.5714285714285716,0,4
280380,2.3333333333333335,0,4
280383,2.0434782608695654,0,4
280384,2.2,0,4
280385,2.090909090909091,0,4
280386,2.466666666666667,0,4
280387,2.08,0,4
280389,1.6,0,4
280391,1.7272727272727273,0,4
280392,1.9444444444444444,0,4
280395,1.875,0,4
280396,1.6111111111111112,0,4
280398,2.1176470588235294,0,4
280403,1.9166666666666667,0,4
280404,2.2,0,4
280405,1.95,0,4
280406,2.090909090909091,0,4
280408,1.7222222222222223,0,4
280409,1.95,0,4
280411,1.9411764705882353,0,4
280412,2.25,0,4
280413,2.2,0,4
280418,2.0,0,4
280419,1.9444444444444444,0,4
280420,2.25,0,4
280422,1.6666666666666667,0,4
280428,2.3,0,4
280429,2.0,0,4
280430,2.2857142857142856,0,4
280433,2.1052631578947367,0,4
280435,2.0588235294117645,0,4
280436,2.1818181818181817,0,4
280437,1.6875,0,4
280438,1.9,0,4
280440,2.375,0,4
280444,1.75,0,4
280281,2.0833333333333335,1,5
280282,2.0,1,5
280283,2.5294117647058822,1,5
280285,2.0,1,5
280286,1.8333333333333333,1,5
280288,2.0,1,5
280289,2.1875,1,5
280292,1.9444444444444444,1,5
280297,2.125,1,5
280298,2.076923076923077,1,5
280299,2.2,1,5
280300,2.3684210526315788,1,5
280301,2.0,1,5
280302,1.72,1,5
280303,2.2222222222222223,1,5
280304,2.0,1,5
280305,2.1666666666666665,1,5
280306,2.1538461538461537,1,5
280307,2.090909090909091,1,5
280308,1.8571428571428572,1,5
280309,2.3333333333333335,1,5
280310,1.9166666666666667,1,5
280311,2.0714285714285716,1,5
280312,2.1538461538461537,1,5
280313,2.1666666666666665,1,5
280314,1.8125,1,5
280315,1.7857142857142858,1,5
280316,2.1176470588235294,1,5
280317,1.9285714285714286,1,5
280318,2.4761904761904763,1,5
280320,2.125,1,5
280321,2.0,1,5
280322,1.6666666666666667,1,5
280325,1.9375,1,5
280326,2.05,1,5
280327,2.0625,1,5
280328,2.5384615384615383,1,5
280329,2.1578947368421053,1,5
280330,2.357142857142857,1,5
280332,2.0,1,5
280333,1.9444444444444444,1,5
280334,2.1538461538461537,1,5
280335,2.2222222222222223,1,5
280336,2.0,1,5
280337,2.4,1,5
280339,2.263157894736842,1,5
280340,2.0714285714285716,1,5
280342,1.7857142857142858,1,5
280343,2.08,1,5
280344,2.0,1,5
280345,2.2,1,5
280346,2.4615384615384617,1,5
280347,2.090909090909091,1,5
280349,2.3125,1,5
280350,2.375,1,5
280351,2.176470588235294,1,5
280352,2.1578947368421053,1,5
280353,2.2941176470588234,1,5
280354,1.894736842105263,1,5
280355,1.631578947368421,1,5
280356,2.1578947368421053,1,5
280357,2.272727272727273,1,5
280360,2.3157894736842106,1,5
280361,2.125,1,5
280362,1.7857142857142858,1,5
